SampleID	PC1	PC2	total_c	no3	nh4	po4	mbc	mbn	mbp	ph	soil_depth
Sample1a10EJP	-0.1788960389	-0.0149949744	41.613	0.338	1.292	1.002	2450.05	202.567	2.219	3.505	10
Sample1a10LJP	-0.09909427	-0.0061859046	40.957	0.581	3.171	0	1049.327	97.257	0	3.75	10
Sample1a10SS2	-0.1837880745	0.0018020056	42.91	0	4.053	6.46	5409.515	449.657	18.887	3.32	10
Sample1a20LJP	0.0091614776	0.075691464	0.725	0.519	0.213	5.004	10.682	1.374	0	5.74	20
Sample1a30LJP	0.2649531255	0.0944605054	0.664	0.365	0.243	1.486	42.78	1.795	0.697	6.025	30
Sample1a5EJP	-0.1775404208	-0.0436662613	43.91	1.997	1.337	25.904	4884.545	391.286	144.795	3.46	5
Sample1a5LJP	-0.1336110832	-0.0332930079	43.124	0.463	4.011	0.95	3066.06	286.074	12.767	3.64	5
Sample1a5SS1	-0.1849580003	-0.0268708198	44.688	1.143	2.265	0	5444.729	337.72	127.573	3.41	5
Sample1a5SS2	-0.218688815	-0.0315942539	44.736	0	1.685	29.977	5908.79	418.219	148.493	3.47	5
Sample1AOne	-0.1777908853	-0.0303431301	43.112	0.317	2.262	0.5	2840.445	240.393	10.744	3.42	5
Sample1ARem	-0.1736664207	-0.0294634884	46.785	0.309	2.991	1.472	5633.087	474.436	11.005	3.36	5
Sample1ASea	-0.1785311398	-0.0444370009	43.385	1.026	2.273	0.944	3257.575	233.183	4.238	3.34	5
Sample1ATea	-0.1500726689	-0.036922019	44.536	0.634	3.127	2.449	3109.801	359.866	22.019	3.38	5
Sample1AWes	-0.213376042	-0.0201886378	44.08	0.016	2.878	2.152	3873.745	298.938	10.744	3.4	5
Sample1AXXX	-0.1966779576	-0.0160341092	45.432	1.133	4.134	0.234	3010.974	268.652	3.487	3.49	5
Sample1AYes	-0.2564165551	-0.0071287439	43.492	3.047	2.751	0.012	3155.7	236.136	2.145	3.3	5
Sample1b10EJP	-0.1196416587	-0.0570750126	39.051	0.63	1.442	0.296	1792.552	120.853	0.191	3.805	10
Sample1b10SS1	-0.1998530027	-0.0138186743	42.186	0.734	2.218	2.432	3349.003	257.036	8.83	3.2	10
Sample1b10SS2	-0.1993558673	-0.0018955483	44.11	0	1.974	11.487	4105.243	331.184	59.809	3.46	10
Sample1b20LJP	0.1956293888	0.1211199569	1.355	0.314	0.136	20.373	27.505	1.531	0.348	5.83	20
Sample1b5EJP	-0.214014243	-0.0338006195	45.921	1.366	2.094	3.91	4014.289	315.886	61.226	3.365	5
Sample1b5LJP	-0.1784561162	-0.0230041397	42.104	0	4.247	1.071	3185.964	287.885	9.675	3.65	5
Sample1b5SS1	-0.1690432119	-0.04413324	43.996	1.337	3.186	10.27	5963.069	357.868	106.578	3.34	5
Sample1b5SS2	-0.1987832874	-0.072895695	44.254	0	1.218	26.269	6569.332	409.147	170.946	3.54	5
Sample1BEas	-0.1929722532	-0.016887118	43.11	0.025	2.725	2.152	3689.441	301.381	10.744	3.55	5
Sample1BRem	-0.2302700744	-0.0242783383	43.792	0.3	2.716	1.472	4065.695	315.259	13.208	3.4	5
Sample1BSea	-0.1696635359	-0.0215094507	43.551	0.671	1.773	0.918	3492.591	293.985	6.759	3.36	5
Sample1BTea	-0.1641507226	-0.0454381139	44.536	0.634	3.127	2.449	3109.801	359.866	22.019	3.38	5
Sample1BXXX	-0.1131222176	-0.0724530067	39.947	0.108	4.84	0.18	1941.598	223.123	1.45	3.68	5
Sample1BYes	-0.2184284782	-0.0130660995	42.688	0.904	3.128	0.333	3139.369	265.995	2.713	3.41	5
Sample1BZeb	-0.1872327503	-0.0262660887	43.329	0.993	1.834	2.286	3846.935	346.243	35.956	3.47	5
Sample1CSea	-0.2000161497	-0.0366442295	44.431	0.652	2.668	1.617	3778.092	339.432	13.208	3.365	5
Sample1CZeb	-0.179903237	-0.0521319181	45.086	0.993	1.834	2.286	3846.935	346.243	35.956	3.47	5
Sample1EOne	-0.1928408887	-0.0207839596	45.954	0.83	3.034	3.803	4354.135	364.81	10.744	3.42	5
Sample2a10EJP	-0.1997015011	-0.0217871928	41.408	0.263	2.338	0.271	3570.892	280.733	6.697	3.33	10
Sample2a10LJP	-0.1351408972	-0.0108036911	37.878	0.185	2.611	0.347	1959.26	185.651	0.415	3.47	10
Sample2a10SS1	-0.1545183025	0.0061594112	42.106	0.502	5.29	1.02	3260.16	198.18	1.44	3.485	10
Sample2a10SS2	-0.1196662967	-0.0152852215	36.845	4.28	2.019	1.384	3634.817	251.11	7.901	3.363	10
Sample2a10WPM	-0.1268929812	-0.0500609976	45.539	0.719	0.932	7.153	6372.068	363.3	92.139	3.47	10
Sample2a20LJP	0.0603598005	0.0685974872	5.372	1.04	0.484	0.596	130.305	10.7	0.468	4.63	20
Sample2a30LJP	0.213712624	0.1200526549	2.716	0.299	0.24	27.85	20.415	0.657	0	5.25	30
Sample2a5EJP	-0.2486255965	-0.0303109394	42.249	0.76	2.027	0.877	3387.424	298.617	15.096	3.32	5
Sample2a5LJP	-0.1622876583	-0.0295870021	41.971	0.131	3.482	0.423	2720.981	280.31	3.251	3.47	5
Sample2a5SS1	-0.2144209265	-0.0073311324	44.703	1.004	5.621	3.793	4435.076	494.577	34.716	3.4	5
Sample2a5SS2	-0.2322579569	-0.0264441184	44.941	0	1.506	22.627	5758.851	451.08	155.781	3.44	5
Sample2a5WPM	-0.1790442218	-0.0652073343	44.989	0.942	2.011	21.908	7001.728	391.331	168.625	3.56	5
Sample2ARem	-0.0551451086	0.0093844213	42.3	0.133	1.588	0.029	1457.606	107.03	2.538	3.84	10
Sample2ASea	-0.0245343773	0.0179733272	36.291	0.575	1.354	0	1543.455	132.271	0.043	3.92	10
Sample2ATea	-0.1402033918	-0.0310263844	41.119	0.336	1.859	0.408	1359.935	120.344	4.624	3.88	10
Sample2AWes1	-0.1215159421	0.0067793558	23.322	0	1.318	0.442	1161.287	93.005	1.232	3.59	10
Sample2AWes2	-0.1174233615	-0.0112709049	23.322	0	1.318	0.442	1161.287	93.005	1.232	3.41	10
Sample2AXXX	-0.0943718314	0.0029772711	35.489	0.629	3.153	0.134	1433.038	137.092	1.858	3.7	10
Sample2AYes	-0.0936104541	0.0088367143	42.621	0.782	1.747	0	1336.912	121.864	0.238	3.74	10
Sample2b10EJP	-0.2380931851	-0.0228261291	44.095	1.148	1.521	10.567	3084.424	280.627	88.461	3.547	10
Sample2b10LJP	-0.0788385383	-0.010206897	40.765	0.238	2.959	0.102	1072.711	99.186	0.153	3.76	10
Sample2b10SS1	-0.1459242354	-0.0064414426	44.148	0.996	5.827	4.199	4146.511	421.988	17.459	3.36	10
Sample2b10SS2	-0.1420602612	0.0007698306	42.47	0	3.014	3.45	5145.083	389.358	23.293	3.36	10
Sample2b20LJP	0.0470180309	0.0850127056	2.396	0.624	0.367	0.774	56.164	4.535	0.239	5.11	20
Sample2b5LJP	-0.18764711	-0.0423389152	41.487	0.846	3.448	2.652	3080.568	266.314	33.833	3.39	5
Sample2b5SS1	-0.1828596413	-0.0228517023	44.011	1.314	7.038	29.704	6874.197	688.145	157.685	3.47	5
Sample2b5SS2	-0.2100760049	-0.0391660885	45.535	0	1.232	24.242	6446.222	429.588	179.866	3.49	5
