SampleID	PC1	PC2	PC3	PC4	total_c	no3	nh4	po4	mbc	mbn	mbp	ph	soil_depth
Sample1a10EJP	-0.241227054	0.0725268953	0.168363702	0.101122545	41.613	0.338	1.292	1.002	2450.05	202.567	2.219	3.505	10
Sample1a10LJP	-0.083724129	0.169554291	0.1506063205	-0.062108563	40.957	0.581	3.171	0	1049.327	97.257	0	3.75	10
Sample1a10SS2	-0.228665609	0.1014219799	0.1375125443	0.037532624	42.91	0	4.053	6.46	5409.515	449.657	18.887	3.32	10
Sample1a20LJP	0.209244284	0.1509397165	-0.0280044673	-0.174722422	0.725	0.519	0.213	5.004	10.682	1.374	0	5.74	20
Sample1a30LJP	0.37825354	-0.013754908	-0.1113119829	0.036261036	0.664	0.365	0.243	1.486	42.78	1.795	0.697	6.025	30
Sample1a5EJP	-0.358152321	-0.1070304338	-0.2156830208	-0.051630199	43.91	1.997	1.337	25.904	4884.545	391.286	144.795	3.46	5
Sample1a5LJP	-0.236735139	0.1081914413	0.1673644291	0.018618517	43.124	0.463	4.011	0.95	3066.06	286.074	12.767	3.64	5
Sample1a5SS1	-0.364279244	-0.1356582395	-0.2398523938	-0.042049521	44.688	1.143	2.265	0	5444.729	337.72	127.573	3.41	5
Sample1a5SS2	-0.376439878	-0.1056902695	-0.2259657136	-0.072760167	44.736	0	1.685	29.977	5908.79	418.219	148.493	3.47	5
Sample1AOne	-0.334019867	0.0070196053	-0.0266651967	0.037923609	43.112	0.317	2.262	0.5	2840.445	240.393	10.744	3.42	5
Sample1ARem	-0.3617352	-0.0855342695	-0.1896983603	-0.045124559	46.785	0.309	2.991	1.472	5633.087	474.436	11.005	3.36	5
Sample1ASea	-0.363051481	-0.1077645159	-0.2046103825	-0.034788773	43.385	1.026	2.273	0.944	3257.575	233.183	4.238	3.34	5
Sample1ATea	-0.332934621	-0.0197282839	-0.0039714997	0.05949716	44.536	0.634	3.127	2.449	3109.801	359.866	22.019	3.38	5
Sample1AWes	-0.3355932	-0.0251267664	-0.0867049645	-0.01388075	44.08	0.016	2.878	2.152	3873.745	298.938	10.744	3.4	5
Sample1AXXX	-0.294550825	0.0581098132	0.1031484168	0.071512241	45.432	1.133	4.134	0.234	3010.974	268.652	3.487	3.49	5
Sample1AYes	-0.334535983	-0.0266023844	-0.1013464826	-0.043822413	43.492	3.047	2.751	0.012	3155.7	236.136	2.145	3.3	5
Sample1b10EJP	-0.183611352	0.0407891282	0.2136879444	0.070447987	39.051	0.63	1.442	0.296	1792.552	120.853	0.191	3.805	10
Sample1b10SS1	-0.304993899	-0.0102608976	-0.0216479116	0.04675512	42.186	0.734	2.218	2.432	3349.003	257.036	8.83	3.2	10
Sample1b10SS2	-0.309805847	-0.0449079821	-0.1439760068	-0.032295593	44.11	0	1.974	11.487	4105.243	331.184	59.809	3.46	10
Sample1b20LJP	0.331345392	0.0807495241	-0.1005050896	-0.105431809	1.355	0.314	0.136	20.373	27.505	1.531	0.348	5.83	20
Sample1b5EJP	-0.337689466	-0.0241874548	0.0374730215	0.047875856	45.921	1.366	2.094	3.91	4014.289	315.886	61.226	3.365	5
Sample1b5LJP	-0.279111065	0.0723941437	0.1536264795	0.058891917	42.104	0	4.247	1.071	3185.964	287.885	9.675	3.65	5
Sample1b5SS1	-0.359103612	-0.1223596014	-0.218206769	-0.043680031	43.996	1.337	3.186	10.27	5963.069	357.868	106.578	3.34	5
Sample1b5SS2	-0.371920765	-0.1332890553	-0.2273889848	-0.058891268	44.254	0	1.218	26.269	6569.332	409.147	170.946	3.54	5
Sample1BEas	-0.330542512	-0.0002132425	-0.0459588916	0.007289143	43.11	0.025	2.725	2.152	3689.441	301.381	10.744	3.55	5
Sample1BRem	-0.312341355	0.0431009527	0.0487229971	0.02737519	43.792	0.3	2.716	1.472	4065.695	315.259	13.208	3.4	5
Sample1BSea	-0.284418758	0.0642154192	0.1043748333	0.052904816	43.551	0.671	1.773	0.918	3492.591	293.985	6.759	3.36	5
Sample1BTea	-0.370542777	-0.1044264149	-0.1576329938	0.029754325	44.536	0.634	3.127	2.449	3109.801	359.866	22.019	3.38	5
Sample1BXXX	-0.208367879	0.0268652922	0.2159586709	0.108185649	39.947	0.108	4.84	0.18	1941.598	223.123	1.45	3.68	5
Sample1BYes	-0.316904505	0.0303126144	-0.0237213639	-0.028892458	42.688	0.904	3.128	0.333	3139.369	265.995	2.713	3.41	5
Sample1BZeb	-0.308427502	0.0490431265	0.1197044095	0.079658846	43.329	0.993	1.834	2.286	3846.935	346.243	35.956	3.47	5
Sample1CSea	-0.373728146	-0.0276548863	-0.0820771814	0.008143678	44.431	0.652	2.668	1.617	3778.092	339.432	13.208	3.365	5
Sample1CZeb	-0.367546609	-0.107138709	-0.1847510442	-0.005935392	45.086	0.993	1.834	2.286	3846.935	346.243	35.956	3.47	5
Sample1EOne	-0.338941872	0.0033119326	-0.0048005356	0.032283979	45.954	0.83	3.034	3.803	4354.135	364.81	10.744	3.42	5
Sample2a10EJP	-0.359314852	-0.042433733	-0.1498783736	-0.039782402	41.408	0.263	2.338	0.271	3570.892	280.733	6.697	3.33	10
Sample2a10LJP	-0.172455484	0.1402343292	0.1872358689	0.044192231	37.878	0.185	2.611	0.347	1959.26	185.651	0.415	3.47	10
Sample2a10SS1	-0.277612147	0.0646872849	0.0649638194	0.06280392	42.106	0.502	5.29	1.02	3260.16	198.18	1.44	3.485	10
Sample2a10SS2	-0.226187004	0.095090084	0.1630322283	0.082547014	36.845	4.28	2.019	1.384	3634.817	251.11	7.901	3.363	10
Sample2a10WPM	-0.356648765	-0.1331714396	-0.1547540515	0.047401311	45.539	0.719	0.932	7.153	6372.068	363.3	92.139	3.47	10
Sample2a20LJP	0.18827881	0.1747801627	0.0125665966	-0.170377047	5.372	1.04	0.484	0.596	130.305	10.7	0.468	4.63	20
Sample2a30LJP	0.356359471	0.0613049038	-0.1080602469	-0.074565481	2.716	0.299	0.24	27.85	20.415	0.657	0	5.25	30
Sample2a5EJP	-0.331904218	-0.0281801415	0.0087473041	0.026165677	42.249	0.76	2.027	0.877	3387.424	298.617	15.096	3.32	5
