SampleID	PC1	PC2	PC3	PC4	PC5	Depth	Frozen	total_c	no3	nh4	po4	mbc	mbn	mbp	ph	soil_depth
Sample1a10EJP	-0.028479494	-0.152773853	-0.070241948	0.021587613	0.032481598	10	0	41.613	0.338	1.292	1.002	2450.05	202.567	2.219	3.505	10
Sample1a10LJP	0.177743437	0.191109203	-0.046924085	-0.014254499	0.020187757	10	1	40.957	0.581	3.171	0	1049.327	97.257	0	3.75	10
Sample1a10SS2	-0.015880544	-0.017350967	-0.162006984	-0.043551359	0.012052958	10	0	42.91	0	4.053	6.46	5409.515	449.657	18.887	3.32	10
Sample1a20LJP	-0.022208854	-0.07813665	0.086891371	0.03819055	0.0780143	20	1	0.725	0.519	0.213	5.004	10.682	1.374	0	5.74	20
Sample1a30LJP	0.178955134	0.028819843	-0.08824059	0.010039593	-0.1033332	30	0	0.664	0.365	0.243	1.486	42.78	1.795	0.697	6.025	30
Sample1a5EJP	-0.160181735	-0.024490758	0.0065295789	-0.048463278	0.0315139537	5	1	43.91	1.997	1.337	25.904	4884.545	391.286	144.795	3.46	5
Sample1a5LJP	0.259020699	-0.147570782	0.0246121348	0.044047932	-0.099100327	5	1	43.124	0.463	4.011	0.95	3066.06	286.074	12.767	3.64	5
Sample1a5SS1	-0.199181091	0.008268178	-0.0015725785	0.04897	0.0481305196	5	0	44.688	1.143	2.265	0	5444.729	337.72	127.573	3.41	5
Sample1a5SS2	-0.179177195	0.030378366	0.0132808224	0.01279053	0.005013676	5	0	44.736	0	1.685	29.977	5908.79	418.219	148.493	3.47	5
Sample1AOne	0.081281612	0.015515099	-0.0314751982	-0.084967808	-0.017465042	5	1	43.112	0.317	2.262	0.5	2840.445	240.393	10.744	3.42	5
Sample1ARem	-0.141126123	-0.020366559	0.0177947119	0.045977281	-0.0540480138	5	1	46.785	0.309	2.991	1.472	5633.087	474.436	11.005	3.36	5
Sample1ASea	-0.162651398	-0.07901785	-0.0155411877	0.027298632	-0.0172462754	5	1	43.385	1.026	2.273	0.944	3257.575	233.183	4.238	3.34	5
Sample1ATea	0.120356454	-0.00839755	-0.0969971615	-0.123972276	-0.0009501446	5	1	44.536	0.634	3.127	2.449	3109.801	359.866	22.019	3.38	5
Sample1AWes	0.038350338	0.172613554	0.0317805462	-0.007023862	-0.0160064467	5	1	44.08	0.016	2.878	2.152	3873.745	298.938	10.744	3.4	5
Sample1AXXX	0.245763634	-0.009921861	-0.012071833	0.057842467	-0.0646625818	5	1	45.432	1.133	4.134	0.234	3010.974	268.652	3.487	3.49	5
Sample1AYes	0.017027093	0.189627022	0.1567251355	0.00415724	0.0256397518	5	1	43.492	3.047	2.751	0.012	3155.7	236.136	2.145	3.3	5
Sample1b10EJP	0.08721918	-0.153753986	0.084505915	0.18636208	-0.026679329	10	0	39.051	0.63	1.442	0.296	1792.552	120.853	0.191	3.805	10
Sample1b10SS1	-0.237400199	0.048544119	-0.042225229	-0.008389728	0.03917337	10	0	42.186	0.734	2.218	2.432	3349.003	257.036	8.83	3.2	10
Sample1b10SS2	-0.295546748	0.174788871	0.023068593	0.080572373	-0.014509049	10	0	44.11	0	1.974	11.487	4105.243	331.184	59.809	3.46	10
Sample1b20LJP	-0.285273485	0.034697551	-0.049795235	0.031790046	0.11024326	20	1	1.355	0.314	0.136	20.373	27.505	1.531	0.348	5.83	20
Sample1b5EJP	0.18466248	0.012607514	-0.1327238295	0.114700976	0.164371075	5	1	45.921	1.366	2.094	3.91	4014.289	315.886	61.226	3.365	5
Sample1b5LJP	0.274463222	-0.103652493	-0.01292559	0.115385881	-0.054461595	5	1	42.104	0	4.247	1.071	3185.964	287.885	9.675	3.65	5
Sample1b5SS1	-0.149245132	-0.001093989	-0.0041802984	-0.008793695	-0.0030144066	5	0	43.996	1.337	3.186	10.27	5963.069	357.868	106.578	3.34	5
Sample1b5SS2	-0.185280945	0.003661788	-0.0125734869	-0.02430237	0.0679543331	5	0	44.254	0	1.218	26.269	6569.332	409.147	170.946	3.54	5
Sample1BEas	0.0951633	0.124650633	-0.0332368605	-0.037089566	-0.0472725868	5	1	43.11	0.025	2.725	2.152	3689.441	301.381	10.744	3.55	5
Sample1BRem	0.187024974	0.044673829	0.0600869421	-0.031065676	0.0186022349	5	1	43.792	0.3	2.716	1.472	4065.695	315.259	13.208	3.4	5
Sample1BSea	0.216186277	-0.019760316	0.0752698003	-0.045406577	-0.0868271094	5	1	43.551	0.671	1.773	0.918	3492.591	293.985	6.759	3.36	5
Sample1BTea	-0.086688878	-0.054000574	-0.1038970507	-0.071690043	0.009801699	5	1	44.536	0.634	3.127	2.449	3109.801	359.866	22.019	3.38	5
Sample1BXXX	0.259530547	-0.294079642	0.1942488864	-0.106279423	0.1648867582	5	1	39.947	0.108	4.84	0.18	1941.598	223.123	1.45	3.68	5
Sample1BYes	0.113374946	0.119969539	0.1150158258	-0.006186025	-0.0156881397	5	1	42.688	0.904	3.128	0.333	3139.369	265.995	2.713	3.41	5
Sample1BZeb	0.249838822	-0.045393015	-0.0311685839	0.046149479	-0.015218335	5	1	43.329	0.993	1.834	2.286	3846.935	346.243	35.956	3.47	5
Sample1CSea	0.009960789	0.052210017	-0.0118841347	-0.055069589	0.017909565	5	1	44.431	0.652	2.668	1.617	3778.092	339.432	13.208	3.365	5
