SampleName	PD	Chao1	ObservedOTUs	iteration	Depth
Sample1a10EJP	55.4127	1108.47887324	597	0	10
Sample1a10LJP	62.34353	1108.17241379	643	0	10
Sample1a10SS2	55.9218	905.153846154	574	0	10
Sample1a20LJP	67.20685	1159.79746835	622	0	20
Sample1a30LJP	69.42083	1086.71875	635	0	30
Sample1a5EJP	53.24094	938.774193548	596	0	5
Sample1a5LJP	53.8158	1009	601	0	5
Sample1a5SS1	52.53596	848.858695652	550	0	5
Sample1a5SS2	49.74007	856.678571429	554	0	5
Sample1AOne	60.13929	1196.09278351	683	0	5
Sample1ARem	48.99391	858.776470588	557	0	5
Sample1ASea	50.73796	917.134831461	573	0	5
Sample1ATea	52.91677	994.375	630	0	5
Sample1AWes	54.60373	1064.97468354	595	0	5
Sample1AXXX	50.59912	1007.8961039	584	0	5
Sample1AYes	49.36135	873.962962963	546	0	5
Sample1b10EJP	57.61479	1034.37931034	595	0	10
Sample1b10SS1	53.89574	1074.4057971	552	0	10
Sample1b10SS2	55.87223	978.795180723	570	0	10
Sample1b20LJP	59.14902	1118.26315789	523	0	20
Sample1b5EJP	52.77918	940.744186047	573	0	5
Sample1b5LJP	54.6634	829.578947368	578	0	5
Sample1b5SS1	55.95845	1100.03157895	680	0	5
Sample1b5SS2	53.37333	967.555555556	574	0	5
Sample1BEas	51.15341	886.279069767	572	0	5
Sample1BRem	53.30855	943.037037037	571	0	5
Sample1BSea	56.04037	1142.83333333	661	0	5
Sample1BTea	51.90222	850.033333333	575	0	5
Sample1BXXX	52.05762	810.674418605	528	0	5
Sample1BYes	63.39377	1097.87826087	676	0	5
Sample1BZeb	49.36768	843.554216867	548	0	5
Sample1CSea	59.09665	1085.28282828	662	0	5
Sample1CZeb	51.57918	942.423529412	585	0	5
Sample1EOne	50.16828	982.117647059	586	0	5
Sample2a10EJP	50.61158	1010.875	590	0	10
Sample2a10LJP	57.83737	1147.68292683	626	0	10
Sample2a10SS1	59.97087	1091.51086957	673	0	10
Sample2a10SS2	58.27507	1138.22077922	620	0	10
Sample2a10WPM	50.74771	852.25	566	0	10
Sample2a20LJP	71.50365	1092.22689076	666	0	20
Sample2a30LJP	57.41983	896.875	515	0	30
Sample2a5EJP	46.37021	816.513513514	488	0	5
Sample2a5LJP	56.87878	979.008547009	664	0	5
Sample2a5SS1	56.24064	1175.21126761	629	0	5
Sample2a5SS2	52.22069	998.170731707	597	0	5
Sample2a5WPM	46.77039	925.227272727	540	0	5
Sample2ARem	58.20313	1028.26744186	606	0	10
Sample2ASea	63.12175	1028.28571429	615	0	10
Sample2ATea	55.8601	981.666666667	593	0	10
Sample2AWes1	52.25274	906.444444444	567	0	10
Sample2AWes2	61.42414	1066.25	635	0	10
Sample2AXXX	57.58362	940.957446809	580	0	10
Sample2AYes	56.66538	1048.78481013	606	0	10
Sample2b10EJP	52.4622	951.318681319	587	0	10
Sample2b10LJP	61.86833	1139.70114943	648	0	10
Sample2b10SS1	58.16842	1050.17924528	663	0	10
Sample2b10SS2	48.77885	850.158536585	551	0	10
Sample2b20LJP	64.91254	1095.97826087	631	0	20
Sample2b5LJP	52.17256	883.696969697	594	0	5
Sample2b5SS1	54.29172	962.03125	614	0	5
Sample2b5SS2	50.43853	900.8	569	0	5
Sample2b5WPM	47.56958	811.583333333	530	0	5
Sample2BEas	55.09153	1043.25	598	0	10
Sample2BOne	58.75738	1035.89655172	606	0	10
Sample2BRem	53.76648	939.04	563	0	10
Sample2BTea	58.1488	945.134020619	606	0	10
Sample2BXXX	62.69281	1040.61797753	608	0	10
Sample2BZeb	60.72103	1034.94174757	653	0	10
Sample2c5EJP	59.2766	1101.09708738	651	0	5
Sample2CEas	57.58141	1125.94382022	642	0	10
Sample2CSea	64.22933	1151.56701031	683	0	10
Sample2CWes1	51.42833	791.166666667	512	0	10
Sample2CWes2	49.87496	876.321428571	549	0	10
