sample-id	field_sample_id	soil_pit_id	sample_date	julian_day	soil_depth	season_fine	season_coarse	lab_id	illumina_plate_number	illumina_plate_well	frozen_state	snow_cover	temperature	volumetric_moisture	gravimetric_moisture	ph	total_n	total_c	no3	nh4	po4	doc	tdn	mbc	mbn	mbp	mbc_n	mbc_p	mbn_p
Sample5a10WPM	5a10	WPM	06-05-2013	126	10	Winter	Winter	WPM-10E	2	D4	0	1	0	0	53.651	4.015	0.826	16.756	0.524	0.881	1.698	265.85	24.976	556.6	39.185	5.885	14.204	94.583	6.659
Sample3a5WPM	3a5	WPM	06-05-2013	126	5	Winter	Winter	WPM-5C	2	C3	0	1	0	0	78.232	3.515	1.116	45.343	0.844	1.256	15.225	1026.596	51.356	6977.526	319.496	120.586	21.839	57.864	2.65
Sample5a5WPM	5a5	WPM	06-05-2013	126	5	Winter	Winter	WPM-5F	2	F3	0	1	0	0	79.141	3.44	1.359	42.72	0.868	2.029	11.013	1065.973	64.327	5905.948	347.496	95.561	16.996	61.803	3.636
Sample5b5WPM	5b5	WPM	06-05-2013	126	5	Winter	Winter	WPM-5G	2	G3	0	1	0	0	80.13	3.49	1.55	42.304	0.682	2.673	2.763	1221.288	73.819	4386.847	274.034	19.302	16.008	227.269	14.197
Sample4a5WPM	4a5	WPM	06-05-2013	126	5	Winter	Winter	WPM-5E	2	E3	0	1	0	0	80.431	3.32	1.075	44.53	0.463	0.649	26.756	620.805	38.739	5620.877	334.723	174.731	16.793	32.169	1.916
Sample2a5WPM	2a5	WPM	06-05-2013	126	5	Winter	Winter	WPM-5A	2	A3	0	1	0	0	81.418	3.56	1.127	44.989	0.942	2.011	21.908	1053.42	55.215	7001.728	391.331	168.625	17.892	41.523	2.321
Sample3a10WPM	3a10	WPM	06-05-2013	126	10	Winter	Winter	WPM-10B	2	A4	0	1	0	0	81.66	3.31	1.661	45.373	0.565	1.666	2.617	874.79	60.396	4720.509	271.226	10.759	17.404	438.739	25.209
Sample2b5WPM	2b5	WPM	06-05-2013	126	5	Winter	Winter	WPM-5B	2	B3	0	1	0	0	81.661	3.47	1.437	47.371	0.7	1.991	13.432	1202.031	66.25	6690.152	365.789	153.488	18.29	43.588	2.383
Sample4a10WPM	4a10	WPM	06-05-2013	126	10	Winter	Winter	WPM-10D	2	C4	0	1	0	0	82.006	3.35	1.705	42.287	0.249	1.815	2.135	963.1	67.766	3828.412	251.018	6.94	15.252	551.681	36.172
Sample2a10WPM	2a10	WPM	06-05-2013	126	10	Winter	Winter	WPM-10A	2	H3	0	1	0	0	82.623	3.47	1.508	45.539	0.719	0.932	7.153	837.351	56.821	6372.068	363.3	92.139	17.539	69.157	3.943
Sample3b10WPM	3b10	WPM	06-05-2013	126	10	Winter	Winter	WPM-10C	2	B4	0	1	0	0	83.677	3.24	1.651	44.094	0.477	1.472	4.074	1181.309	65.625	5395.984	298.258	32.341	18.092	166.846	9.222
Sample3b5WPM	3b5	WPM	06-05-2013	126	5	Winter	Winter	WPM-5D	2	D3	0	1	0	0	87.175	3.495	1.036	44.749	0.663	1.774	10.539	1693.53	74.23	5901.208	328.409	97.774	17.969	60.356	3.359
Sample1a5SS1	1a5	SS1	19-05-2013	139	5	Winter	Winter	SS1-5A	2	E4	0	1	0	0	79.654	3.41	1.098	44.688	1.143	2.265	0	866.143	43.991	5444.729	337.72	127.573	16.122	42.679	2.647
Sample2a5SS1	2a5	SS1	19-05-2013	139	5	Winter	Winter	SS1-5C	2	G4	0	1	0	0	81.183	3.4	1.764	44.703	1.004	5.621	3.793	928.599	93.772	4435.076	494.577	34.716	8.967	127.753	14.246
Sample2a10SS1	2a10	SS1	19-05-2013	139	10	Winter	Winter	SS1-10B	2	C5	0	1	0	0	81.617	3.485	1.755	42.106	0.502	5.29	1.02	941.723	82.098	3260.16	198.18	1.44	16.451	2264.429	137.651
Sample1b10SS1	1b10	SS1	19-05-2013	139	10	Winter	Winter	SS1-10A	2	B5	0	1	0	0	84.019	3.2	1.537	42.186	0.734	2.218	2.432	674.91	50.949	3349.003	257.036	8.83	13.029	379.267	29.109
Sample1b5SS1	1b5	SS1	19-05-2013	139	5	Winter	Winter	SS1-5B	2	F4	0	1	0	0	84.77	3.34	1.221	43.996	1.337	3.186	10.27	1280.427	76.063	5963.069	357.868	106.578	16.663	55.95	3.358
Sample2b10SS1	2b10	SS1	19-05-2013	139	10	Winter	Winter	SS1-10C	2	D5	0	1	0	0	84.982	3.36	1.858	44.148	0.996	5.827	4.199	830.554	90.487	4146.511	421.988	17.459	9.826	237.498	24.17
Sample2b5SS1	2b5	SS1	19-05-2013	139	5	Winter	Winter	SS1-5D	2	H4	0	1	0	0	85.616	3.47	1.575	44.011	1.314	7.038	29.704	1174.369	114.658	6874.197	688.145	157.685	9.989	43.594	4.364
Sample3a5SS1	3a5	SS1	19-05-2013	139	5	Winter	Winter	SS1-5E	2	A5	0	1	0	0	87.65	3.405	1.32	43.853	0.042	7.139	35.237	1291.735	129.895	4935.673	534.658	156.43	9.231	31.552	3.418
Sample3a10SS1	3a10	SS1	19-05-2013	139	10	Winter	Winter	SS1-10D	2	E5	0	1	0	0	88.449	3.348	1.566	44.045	0	6.737	9.709	1244.983	132.337	4412.504	489.171	0.631	9.02	6996.578	775.642
Sample3b10SS2	3b10	SS2	26-05-2013	146	10	Melt	Melt	SS2-10E	2	G6	0	0	0	0	83.481	3.31	1.895	43.944	0	2.669	3.412	767.116	55.56	4939.147	385.98	16.025	12.796	308.207	24.086
Sample1a5SS2	1a5	SS2	26-05-2013	146	5	Melt	Melt	SS2-5A	2	F5	1	0	1.475	0	83.937	3.47	1.072	44.736	0	1.685	29.977	942.068	45.536	5908.79	418.219	148.493	14.128	39.792	2.816
Sample2b10SS2	2b10	SS2	26-05-2013	146	10	Melt	Melt	SS2-10D	2	F6	0	0	0	0	84.092	3.36	1.676	42.47	0	3.014	3.45	1051.906	76.488	5145.083	389.358	23.293	13.214	220.885	16.716
Sample1b10SS2	1b10	SS2	26-05-2013	146	10	Melt	Melt	SS2-10B	2	D6	0	0	0	0	85.225	3.46	1.128	44.11	0	1.974	11.487	834.547	67.655	4105.243	331.184	59.809	12.396	68.639	5.537
Sample2b5SS2	2b5	SS2	26-05-2013	146	5	Melt	Melt	SS2-5D	2	A6	1	0	1.5	0	85.279	3.49	1.211	45.535	0	1.232	24.242	818.115	43.244	6446.222	429.588	179.866	15.006	35.839	2.388
Sample3b5SS2	3b5	SS2	26-05-2013	146	5	Melt	Melt	SS2-5E	2	B6	1	0	1.5	0	85.456	3.41	1.509	43.803	0	1.714	6.034	1001.06	57.121	4812.309	354.671	80.74	13.568	59.602	4.393
Sample1b5SS2	1b5	SS2	26-05-2013	146	5	Melt	Melt	SS2-5B	2	G5	1	0	1.975	0	85.866	3.54	0.993	44.254	0	1.218	26.269	953.462	44.496	6569.332	409.147	170.946	16.056	38.429	2.393
Sample2a10SS2	2a10	SS2	26-05-2013	146	10	Melt	Melt	SS2-10C	2	E6	0	0	0	0	85.872	3.363	1.541	36.845	4.28	2.019	1.384	819.893	60.059	3634.817	251.11	7.901	14.475	460.032	31.781
Sample2a5SS2	2a5	SS2	26-05-2013	146	5	Melt	Melt	SS2-5C	2	H5	1	0	1.5	0	86.496	3.44	1.282	44.941	0	1.506	22.627	732.336	51.711	5758.851	451.08	155.781	12.767	36.968	2.896
Sample1a10SS2	1a10	SS2	26-05-2013	146	10	Melt	Melt	SS2-10A	2	C6	0	0	0	0	89.615	3.32	1.499	42.91	0	4.053	6.46	1746.725	125.407	5409.515	449.657	18.887	12.03	286.411	23.807
Samplep1bEJP	p1b	EJP	15-06-2013	159	20	Early Spring	Spring	EJP-20A	2	H7	0	0	0	0	24.176	5.01	0.117	2.419	1.556	0.472	1.422	61.491	7.379	54.257	2.943	0.162	18.438	335.311	18.186
Samplep3cEJP	p3c	EJP	15-06-2013	159	20	Early Spring	Spring	EJP-20C	2	B8	0	0	0	0	26.483	5.04	0.114	2.365	0.603	0.787	0.092	74.689	7.279	15.514	1.195	1.526	12.986	10.17	0.783
Samplep2aEJP	p2a	EJP	15-06-2013	159	20	Early Spring	Spring	EJP-20B	2	A8	0	0	0	0	30.703	4.47	0.152	3.557	0.738	0.677	0.956	110.731	11.277	90.046	4.013	1.742	22.437	51.691	2.304
Sample1b10EJP	1b10	EJP	08-06-2013	159	10	Early Spring	Spring	EJP-10B	2	E7	1	0	1.549	74.354	79.283	3.805	1.792	39.051	0.63	1.442	0.296	565.527	47.008	1792.552	120.853	0.191	14.833	9389.741	633.052
Sample2c5EJP	2c5	EJP	08-06-2013	159	5	Early Spring	Spring	EJP-5D	2	C7	1	0	2.428	66.25	79.754	3.33	1.731	42.832	0.915	2.234	1.653	893.354	60.445	3950.421	325.107	10.914	12.151	361.945	29.787
Sample1a5EJP	1a5	EJP	08-06-2013	159	5	Early Spring	Spring	EJP-5A	2	H6	1	0	2.428	66.25	80.544	3.46	1.093	43.91	1.997	1.337	25.904	693.036	37.438	4884.545	391.286	144.795	12.483	33.734	2.702
Sample1a10EJP	1a10	EJP	08-06-2013	159	10	Early Spring	Spring	EJP-10A	2	D7	1	0	1.549	74.354	80.664	3.505	1.438	41.613	0.338	1.292	1.002	715.792	45.361	2450.05	202.567	2.219	12.095	1103.925	91.271
Sample2a5EJP	2a5	EJP	08-06-2013	159	5	Early Spring	Spring	EJP-5C	2	B7	1	0	2.428	66.25	80.75	3.32	1.653	42.249	0.76	2.027	0.877	901.44	61.56	3387.424	298.617	15.096	11.344	224.388	19.781
Sample2a10EJP	2a10	EJP	08-06-2013	159	10	Early Spring	Spring	EJP-10C	2	F7	1	0	1.549	74.354	80.901	3.33	1.596	41.408	0.263	2.338	0.271	925.903	66.055	3570.892	280.733	6.697	12.72	533.218	41.92
Sample1b5EJP	1b5	EJP	08-06-2013	159	5	Early Spring	Spring	EJP-5B	2	A7	1	0	2.428	66.25	81.416	3.365	1.447	45.921	1.366	2.094	3.91	749.444	60.053	4014.289	315.886	61.226	12.708	65.565	5.159
Sample2b10EJP	2b10	EJP	08-06-2013	159	10	Early Spring	Spring	EJP-10D	2	G7	1	0	1.549	74.354	86.628	3.547	1.176	44.095	1.148	1.521	10.567	824.633	56.517	3084.424	280.627	88.461	10.991	34.867	3.172
Sample1a20LJP	1a20	LJP	22-06-2013	173	20	Late Spring	Spring	LJP-20A	2	B9	1	0	0.233	32.6	19.957	5.74	0.044	0.725	0.519	0.213	5.004	30.385	3.834	10.682	1.374	0	7.773	0	0
Sample1b20LJP	1b20	LJP	22-06-2013	173	20	Late Spring	Spring	LJP-20B	2	E9	1	0	0.233	32.6	20.308	5.83	0.056	1.355	0.314	0.136	20.373	48.377	3.554	27.505	1.531	0.348	17.971	79	4.396
Sample1a30LJP	1a30	LJP	22-06-2013	173	30	Late Spring	Spring	LJP-30A	2	F9	0	0	0	0	20.994	6.025	0.026	0.664	0.365	0.243	1.486	49.236	3.627	42.78	1.795	0.697	23.827	61.366	2.575
Sample2b20LJP	2b20	LJP	22-06-2013	173	20	Late Spring	Spring	LJP-20D	2	D9	1	0	0.367	42.167	24.696	5.11	0.113	2.396	0.624	0.367	0.774	47.246	5.349	56.164	4.535	0.239	12.641	234.507	9.081
Sample2a30LJP	2a30	LJP	22-06-2013	173	30	Late Spring	Spring	LJP-30B	2	G9	0	0	0	0	25.625	5.25	0.118	2.716	0.299	0.24	27.85	40.533	3.022	20.415	0.657	0	31.07	0	0
Sample2a20LJP	2a20	LJP	22-06-2013	173	20	Late Spring	Spring	LJP-20C	2	C9	1	0	0.367	42.167	30.753	4.63	0.232	5.372	1.04	0.484	0.596	62.976	8.658	130.305	10.7	0.468	12.177	278.226	22.848
Sample1a10LJP	1a10	LJP	22-06-2013	173	10	Late Spring	Spring	LJP-10A	2	G8	1	0	2	55.833	74.279	3.75	2.135	40.957	0.581	3.171	0	462.787	48.467	1049.327	97.257	0	10.789	0	0
Sample2b10LJP	2b10	LJP	22-06-2013	173	10	Late Spring	Spring	LJP-10C	2	H8	1	0	4.65	60	75.049	3.76	1.88	40.765	0.238	2.959	0.102	392.37	38.023	1072.711	99.186	0.153	10.815	7007.531	647.935
Sample1a5LJP	1a5	LJP	22-06-2013	173	5	Late Spring	Spring	LJP-5A	2	C8	1	0	9.762	56.667	75.504	3.64	2.477	43.124	0.463	4.011	0.95	676.019	69.754	3066.06	286.074	12.767	10.718	240.157	22.408
Sample1b5LJP	1b5	LJP	22-06-2013	173	5	Late Spring	Spring	LJP-5B	2	E8	1	0	9.762	56.667	76.49	3.65	2.126	42.104	0	4.247	1.071	618.531	61.654	3185.964	287.885	9.675	11.067	329.314	29.757
Sample2b5LJP	2b5	LJP	22-06-2013	173	5	Late Spring	Spring	LJP-5D	2	F8	1	0	8.417	53.5	77.12	3.39	1.09	41.487	0.846	3.448	2.652	697.952	54.377	3080.568	266.314	33.833	11.567	91.052	7.871
Sample2a5LJP	2a5	LJP	22-06-2013	173	5	Late Spring	Spring	LJP-5C	2	D8	1	0	8.417	53.5	78.033	3.47	1.882	41.971	0.131	3.482	0.423	690.233	64.034	2720.981	280.31	3.251	9.707	837.025	86.229
Sample2a10LJP	2a10	LJP	22-06-2013	173	10	Late Spring	Spring	LJP-10B	2	A9	1	0	4.65	60	79.146	3.47	1.829	37.878	0.185	2.611	0.347	631.582	54.075	1959.26	185.651	0.415	10.553	4718.753	447.129
Sample3AOne	3A	One	30-06-2012	182	20	Early Summer	Summer	One-20A	1	C1	1	0	0.74	33.8	21.029	5.75	0.115	1.181	0.508	0.179	2.891	31.925	3.669	11.839	1.496	0.818	7.914	14.473	12.108
SampleFiOne	Fi	One	30-06-2012	182	40	Early Summer	Summer	One-40A	1	2A	0	0	0	0	22.242	5.97	0.096	0.945	0.547	0.276	5.916	24.178	2.727	121.915	13.156	1.558	9.267	78.263	8.445
Sample4EOne	4E	One	30-06-2012	182	30	Early Summer	Summer	One-30B	1	G1	1	0	0.32	0	22.89	5.26	0.133	2.316	0.238	0.159	1.411	30.541	4.156	28.656	1.97	0.559	14.545	51.305	3.527
SampleFiiOne	Fii	One	30-06-2012	182	40	Early Summer	Summer	One-40B	1	2B	0	0	0	0	23.408	5.9	0.098	1.12	0.21	0.122	0.783	31.484	2.645	7.855	0.974	1.558	8.066	5.042	0.625
