"X.OTU.ID"	"Sample1a10SS2"	"Sample1a5SS2"	"Sample1BZeb"	"Sample1b10SS1"	"Sample2a10SS2"	"Sample2a20LJP"	"Sample2a5SS1"	"Sample2b5WPM"	"Sample3a5SS1"	"Sample3b10WPM"	"Sample5a5WPM"	"Sample1ARem"	"Sample1a5SS1"	"Sample2a10WPM"	"Sample2a5WPM"	"Sample3b5SS2"	"Sample1ATea"	"Sample1AWes"	"Sample1a10EJP"	"Sample1a10LJP"	"Sample1a5LJP"	"Sample1BEas"	"Sample1BSea"	"Sample1BTea"	"Sample1b10EJP"	"Sample1b5EJP"	"Sample1b5LJP"	"Sample1b5SS1"	"Sample2ARem"	"Sample2ASea"	"Sample2AWes2"	"Sample2AYes"	"Sample2a10LJP"	"Sample2a10SS1"	"Sample2a5LJP"	"Sample2BEas"	"Sample2BOne"	"Sample2BRem"	"Sample2BTea"	"Sample2BZeb"	"Sample2b10LJP"	"Sample2b20LJP"	"Sample2b5LJP"	"Sample2b5SS2"	"Sample2CEas"	"Sample2CSea"	"Sample2CYes"	"Sample2CZeb"	"Sample3a5WPM"	"Sample3BSea"	"Sample3b5WPM"	"Sample3CSea"	"Sample4ASea"	"Sample5ASea"	"Sample5BSea"	"Sample5CYes"	"SampleFiiWes"	"Sample1CSea"	"Sample2b5SS1"	"Sample3a10SS1"	"Sample4AEas"	"Sample4DEas"	"Sample5CZeb"	"Sample6BRem"	"SampleFiOne"	"SampleFiXXX"	"SampleFiiOne"	"SampleFvTea"	"SampleFviiSea"	"Samplep2aEJP"	"Sample1AOne"	"Sample1ASea"	"Sample1AYes"	"Sample1a20LJP"	"Sample1a30LJP"	"Sample1a5EJP"	"Sample1BRem"	"Sample1BYes"	"Sample1b10SS2"	"Sample1b20LJP"	"Sample1b5SS2"	"Sample1CZeb"	"Sample2a30LJP"	"Sample2BXXX"	"Sample2b10SS2"	"Sample2CWes1"	"Sample2CWes2"	"Sample2c5EJP"	"Sample2EOne"	"Sample3AOne"	"Sample3ARem"	"Sample3ATea"	"Sample3AYes"	"Sample3AZeb"	"Sample3BOne"	"Sample3BRem"	"Sample3BTea"	"Sample3BWes"	"Sample3CXXX"	"Sample3CYes"	"Sample3CZeb"	"Sample4ARem"	"Sample4ATea"	"Sample4AWes"	"Sample4AYes"	"Sample4AZeb"	"Sample4BRem"	"Sample4BSea"	"Sample4BTea"	"Sample4BYes"	"Sample4CWes"	"Sample4CXXX"	"Sample4CZeb"	"Sample4EOne"	"Sample5ARem"	"Sample5ATea"	"Sample5AZeb"	"Sample5BRem"	"Sample5BTea"	"Sample5BXXX"	"Sample5b5WPM"	"Sample6ARem"	"Sample6ASea"	"Sample6ATea"	"Sample6BTea"	"SampleFiEas"	"SampleFiZeb"	"SampleFiiEas"	"SampleFviZeb"	"Samplep1bEJP"	"Samplep3cEJP"	"Sample1BXXX"	"Sample2AWes1"	"Sample2AXXX"	"Sample2a5EJP"	"Sample2b10SS1"	"Sample3AWes"	"Sample3a10WPM"	"Sample3BEas"	"Sample4a10WPM"	"Sample4CEas"	"Sample6BSea"	"Sample2b10EJP"	"Sample2ATea"	"Sample2a5SS2"	"Sample4DOne"	"Sample5AXXX"	"SampleFiYes"	"SampleFivTea"	"Sample4a5WPM"	"Sample1AXXX"	"Sample1EOne"	"Sample2a10EJP"	"Sample4BEas"	"SampleFiWes"	"SampleFiiiRem"	"SampleFiiiYes"	"SampleFivSea"	"SampleFvRem"	"Sample3BXXX"	"Sample4BXXX"	"Sample5a10WPM"	"Sample5BYes"	"SampleFviiiXXX"	"Consensus.Lineage"
"60"	274	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1	0	0	0	1	0	0	16	0	0	0	0	8	3	11	0	21	26	0	0	0	0	0	3	0	20	0	31	46	30	100	61	19	1	0	0	52	9	38	109	9	39	22	0	0	9	0	0	0	29	16	0	0	1	2	30	0	0	7	2	0	0	0	0	0	18	17	4	43	2	14	32	38	12	22	41	20	20	28	82	36	26	27	31	18	28	38	15	19	10	33	29	27	30	50	20	0	73	12	48	137	25	85	24	49	7	9	0	0	5	0	0	17	0	8	0	41	106	0	0	0	43	77	32	0	0	0	0	0	7	29	0	18	0	0	4	27	0	39	4	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria"
"97"	117	0	0	0	0	0	13	0	0	0	0	0	1	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	3	1	18	0	16	9	0	0	0	1	2	2	0	51	0	1	23	54	179	2440	25	0	0	0	107	39	70	776	117	60	72	0	6	24	2	0	0	17	216	0	1	0	8	3	0	0	51	4	0	3	2	0	1	23	26	101	79	7	5	201	386	12	57	394	29	37	25	164	610	257	73	9	204	73	30	15	53	109	291	152	73	92	78	59	0	777	32	118	261	53	399	57	365	17	24	0	1	2	1	0	2	0	24	0	94	246	0	0	0	37	115	209	5	0	0	1	0	24	57	1	318	13	11	6	2	0	84	61	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__"
"164"	17	0	0	0	0	0	791	0	0	0	1	0	0	0	0	0	1	0	0	0	2	2	0	0	1	0	0	0	0	1	0	1	0	2	1	0	3	17	3	66	3	71	913	3	1	0	1	0	1	0	327	1	699	944	1539	1464	1094	1034	0	1	4	752	595	509	802	250	252	573	2	0	8	2	1	0	1687	1596	0	1	2	12	1044	1	1	380	13	0	7	3	2	0	219	733	419	1126	312	168	1027	943	562	849	437	992	1404	930	2641	802	719	580	999	1823	617	930	1272	1181	357	1452	1005	479	999	2065	989	0	482	286	962	1492	334	410	638	276	95	110	3	1	0	0	1	301	0	507	1	438	941	0	1	0	100	1644	909	4	0	0	1	2	77	1965	0	790	6	1	708	1249	0	1202	96	"k__Bacteria; p__Chloroflexi; c__S085; o__; f__; g__; s__"
"235"	561	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	1	0	0	9	0	0	0	3	1	2	0	4	0	16	23	20	45	24	9	0	0	0	25	22	16	37	8	14	29	0	0	12	0	0	0	7	19	0	0	0	1	6	1	0	9	1	0	1	0	0	0	11	9	6	8	8	33	21	30	8	18	7	8	20	24	29	10	11	5	13	24	10	9	8	12	26	22	28	10	27	20	4	0	41	8	15	45	12	33	9	17	18	9	1	1	1	0	0	3	0	5	0	10	42	0	0	0	16	42	10	0	0	0	0	0	3	9	0	16	2	0	11	6	0	21	5	"k__Bacteria; p__Chloroflexi; c__SHA-26; o__; f__; g__; s__"
"266"	25	1	2	3	2	0	16	0	0	0	0	1	0	1	1	1	0	2	3	0	1	1	1	0	2	0	2	3	0	3	6	1	4	1	2	0	1	1	1	3	2	6	95	0	2	2	2	2	5	0	88	1	618	805	1668	1560	2509	664	0	0	0	1115	493	2162	3631	866	2946	2322	418	22	45	12	1	1	355	596	0	1	1	84	323	0	1	353	11	0	5	5	2	0	274	157	13	112	65	33	153	711	22	110	44	66	276	1327	243	118	489	320	790	490	322	495	239	232	166	1737	1107	1763	1305	1750	1055	0	6575	1263	1541	4161	530	3701	934	3111	100	25	1	3	4	1	0	15	0	59	0	119	3287	1	2	0	212	2951	3961	365	2	1	1	4	156	1025	348	2917	97	941	70	452	0	679	1052	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
"539"	253	0	0	4	0	28	15	1	0	0	0	3	0	0	0	0	0	1	0	1	18	35	0	10	0	16	3	13	0	15	36	10	22	28	6	5	6	10	30	16	18	14	14	0	0	12	48	6	36	0	37	0	44	63	82	293	71	47	1	0	3	126	37	79	55	18	99	38	0	0	39	2	0	1	31	63	1	1	7	2	23	0	0	27	23	5	4	3	3	23	43	5	29	36	18	21	29	64	7	16	16	11	12	55	40	20	25	25	47	48	63	26	22	22	10	37	84	66	70	60	61	3	87	61	95	139	14	74	22	63	57	44	5	8	15	1	7	17	3	21	3	19	220	0	27	0	17	253	121	0	0	2	3	0	11	140	0	144	4	2	9	41	8	56	24	"k__Bacteria; p__Chloroflexi; c__Ellin6529; o__; f__; g__; s__"
"589"	79	132	3	9	11	48	347	0	0	0	1	3	2	0	0	2	1	0	2	11	257	41	2	14	1	7	1	19	6	34	306	49	106	149	81	17	79	144	40	114	71	149	417	3	1	77	194	33	71	1	436	3	512	611	209	591	379	449	4	0	2	380	253	126	134	346	383	483	0	0	53	15	5	1	369	431	0	6	16	7	263	1	0	209	150	17	27	23	14	11	267	141	247	410	150	241	275	530	175	315	176	75	102	289	457	101	126	89	368	202	208	753	155	140	171	88	308	127	142	613	334	9	212	124	130	323	382	262	583	109	206	219	9	177	171	2	49	92	16	179	17	208	707	2	12	0	200	859	82	0	1	16	2	1	75	1019	0	68	21	1	202	171	0	329	270	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Ellin329; f__; g__; s__"
"609"	113	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	1	0	2	0	0	0	0	1	0	0	3	0	3	0	0	1	0	8	0	17	3	0	0	1	0	0	2	0	10	0	32	158	93	448	82	143	0	0	0	71	27	203	267	93	30	212	0	0	3	0	0	0	18	328	0	0	0	7	10	0	0	53	0	0	1	0	0	0	2	1	24	23	7	8	11	87	9	19	13	5	6	22	117	62	81	128	125	81	181	36	100	56	41	170	121	176	196	97	22	0	572	20	194	673	35	306	35	298	22	12	0	4	0	0	0	6	2	12	0	12	395	1	0	0	19	28	174	0	0	0	0	0	3	297	1	96	3	0	7	34	0	186	21	"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales"
"805"	91	0	0	0	1	25	337	0	0	0	0	1	0	0	0	1	0	0	0	0	115	185	0	5	0	33	0	71	0	74	200	47	86	76	0	2	16	44	6	122	48	145	297	1	0	38	183	61	76	0	245	0	191	257	113	279	827	154	0	0	1	217	125	120	521	59	65	39	0	0	136	8	0	1	369	133	0	1	17	10	141	0	1	76	36	0	1	1	1	9	150	180	201	310	93	61	289	305	122	254	162	130	229	268	290	163	223	117	185	261	169	147	75	107	154	102	135	127	130	117	103	0	655	35	154	427	159	352	190	260	100	60	10	29	47	0	0	58	0	196	1	149	373	0	65	0	158	253	8	2	1	1	0	0	35	167	0	21	1	1	189	121	5	144	10	"k__Bacteria; p__Chlorobi; c__; o__; f__; g__; s__"
"940"	85	0	0	0	1	0	8	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	41	1	0	0	0	0	0	0	53	0	66	139	69	218	279	48	1	0	0	1	21	73	149	15	822	59	6	0	0	1	1	0	52	163	0	0	0	13	51	0	0	148	0	0	2	0	0	0	5	61	5	46	50	38	48	17	9	58	12	4	39	12	59	30	69	9	254	82	45	49	15	45	75	206	131	96	47	109	271	0	675	24	150	465	61	1462	10	1279	0	1	0	0	0	0	0	3	0	37	0	7	749	0	1	0	15	262	1612	1	0	0	0	1	0	102	0	1755	0	1	5	34	0	208	199	"k__Bacteria; p__AD3"
