"X.OTU.ID"	"Sample1a10SS2"	"Sample1a5SS2"	"Sample1BZeb"	"Sample1b10SS1"	"Sample2a10SS2"	"Sample2a20LJP"	"Sample2a5SS1"	"Sample2b5WPM"	"Sample3a5SS1"	"Sample3b10WPM"	"Sample5a5WPM"	"Sample1ARem"	"Sample1a5SS1"	"Sample2a10WPM"	"Sample2a5WPM"	"Sample3b5SS2"	"Sample1ATea"	"Sample1AWes"	"Sample1a10EJP"	"Sample1a10LJP"	"Sample1a5LJP"	"Sample1BEas"	"Sample1BSea"	"Sample1BTea"	"Sample1b10EJP"	"Sample1b5EJP"	"Sample1b5LJP"	"Sample1b5SS1"	"Sample2ARem"	"Sample2ASea"	"Sample2AWes2"	"Sample2AYes"	"Sample2a10LJP"	"Sample2a10SS1"	"Sample2a5LJP"	"Sample2BEas"	"Sample2BOne"	"Sample2BRem"	"Sample2BTea"	"Sample2BZeb"	"Sample2b10LJP"	"Sample2b20LJP"	"Sample2b5LJP"	"Sample2b5SS2"	"Sample2CEas"	"Sample2CSea"	"Sample2CYes"	"Sample2CZeb"	"Sample3a5WPM"	"Sample3BSea"	"Sample3b5WPM"	"Sample3CSea"	"Sample4ASea"	"Sample5ASea"	"Sample5BSea"	"Sample5CYes"	"SampleFiiWes"	"Sample1CSea"	"Sample2b5SS1"	"Sample3a10SS1"	"Sample4AEas"	"Sample4DEas"	"Sample5CZeb"	"Sample6BRem"	"SampleFiOne"	"SampleFiXXX"	"SampleFiiOne"	"SampleFvTea"	"SampleFviiSea"	"Samplep2aEJP"	"Sample1AOne"	"Sample1ASea"	"Sample1AYes"	"Sample1a20LJP"	"Sample1a30LJP"	"Sample1a5EJP"	"Sample1BRem"	"Sample1BYes"	"Sample1b10SS2"	"Sample1b20LJP"	"Sample1b5SS2"	"Sample1CZeb"	"Sample2a30LJP"	"Sample2BXXX"	"Sample2b10SS2"	"Sample2CWes1"	"Sample2CWes2"	"Sample2c5EJP"	"Sample2EOne"	"Sample3AOne"	"Sample3ARem"	"Sample3ATea"	"Sample3AYes"	"Sample3AZeb"	"Sample3BOne"	"Sample3BRem"	"Sample3BTea"	"Sample3BWes"	"Sample3CXXX"	"Sample3CYes"	"Sample3CZeb"	"Sample4ARem"	"Sample4ATea"	"Sample4AWes"	"Sample4AYes"	"Sample4AZeb"	"Sample4BRem"	"Sample4BSea"	"Sample4BTea"	"Sample4BYes"	"Sample4CWes"	"Sample4CXXX"	"Sample4CZeb"	"Sample4EOne"	"Sample5ARem"	"Sample5ATea"	"Sample5AZeb"	"Sample5BRem"	"Sample5BTea"	"Sample5BXXX"	"Sample5b5WPM"	"Sample6ARem"	"Sample6ASea"	"Sample6ATea"	"Sample6BTea"	"SampleFiEas"	"SampleFiZeb"	"SampleFiiEas"	"SampleFviZeb"	"Samplep1bEJP"	"Samplep3cEJP"	"Sample1BXXX"	"Sample2AWes1"	"Sample2AXXX"	"Sample2a5EJP"	"Sample2b10SS1"	"Sample3AWes"	"Sample3a10WPM"	"Sample3BEas"	"Sample4a10WPM"	"Sample4CEas"	"Sample6BSea"	"Sample2b10EJP"	"Sample2ATea"	"Sample2a5SS2"	"Sample4DOne"	"Sample5AXXX"	"SampleFiYes"	"SampleFivTea"	"Sample4a5WPM"	"Sample1AXXX"	"Sample1EOne"	"Sample2a10EJP"	"Sample4BEas"	"SampleFiWes"	"SampleFiiiRem"	"SampleFiiiYes"	"SampleFivSea"	"SampleFvRem"	"Sample3BXXX"	"Sample4BXXX"	"Sample5a10WPM"	"Sample5BYes"	"SampleFviiiXXX"	"Consensus.Lineage"
"64"	9	3629	939	803	484	1785	950	759	164	1073	1150	1083	1266	189	105	182	254	378	453	745	1040	3045	901	1070	211	1810	567	3853	473	799	1186	810	1043	1064	1154	874	1062	845	946	666	716	862	1311	695	742	1667	629	954	805	298	1147	1763	796	1346	30	158	172	441	822	428	452	690	483	130	461	102	710	25	209	4	1350	755	890	992	1047	122	795	1457	1619	1777	430	260	172	133	476	2077	2924	2670	564	1035	502	1291	953	1003	211	597	1357	1040	662	623	554	596	489	296	1028	669	224	263	309	1335	254	595	115	575	569	137	33	186	524	58	100	397	141	15	68	136	392	186	556	83	269	1272	768	896	534	1321	457	829	1504	221	8875	519	179	813	1095	985	716	240	309	36	2210	524	521	660	26	231	7	166	30	15	573	130	59	198	140	"k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__; g__; s__"
"140"	6123	74	127	15	98	9	7	74	25	30	61	88	121	53	31	66	192	78	45	49	30	35	42	51	43	21	14	58	550	11	19	16	13	18	63	40	11	4	20	12	21	13	25	78	70	21	22	17	14	43	13	121	9	7	8	25	4	13	43	67	54	14	15	12	8	2	11	5	1	0	28	35	101	201	20	22	49	38	27	223	18	83	37	10	5	25	58	47	48	6	4	7	25	21	3	5	33	10	4	16	7	7	21	11	14	6	1	18	3	6	4	12	14	11	3	11	7	12	2	8	9	59	9	1	6	6	7	3	7	4	18	22	3	15	10	56	26	6	50	6	60	9	14	73	9	170	1	15	8	0	98	40	35	97	14	4	0	5	1	0	3	3	3	7	7	"k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales"
"153"	374	75	157	67	20	78	5	158	37	179	74	223	311	55	38	87	703	94	102	53	11	64	28	132	71	25	60	63	345	172	35	18	27	20	175	198	69	22	39	13	287	15	2	383	400	223	7	16	143	131	4	104	2	0	1	4	5	4	122	246	29	4	3	2	123	11	17	7	22	1	0	145	574	80	4	2	361	140	178	46	0	150	242	3	2	181	185	162	136	13	1	6	7	6	0	2	7	15	14	16	10	2	9	4	6	7	8	6	1	68	0	3	3	8	1	5	1	2	2	5	2	78	6	1	0	1	1	12	8	6	4	2	17	23	8	32	139	3	194	5	40	22	3	130	10	201	3	3	1	53	375	77	52	128	8	0	2	7	4	3	3	1	2	2	1	"k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__"
"227"	69	21	926	131	109	158	0	50	1918	230	153	157	461	80	899	697	103	36	36	257	18	130	66	115	151	953	90	121	153	16	180	99	10	76	194	314	898	67	1476	4	78	7	0	71	51	183	123	29	76	143	2	353	2	2	0	5	0	978	90	61	72	5	8	1	0	514	9	60	1	0	0	67	2122	10	1	3	126	397	89	80	1	407	84	0	225	132	186	103	83	1113	11	0	6	0	47	4	0	3	4	9	2	48	0	0	5	1	7	1	0	0	0	0	0	0	0	1	0	0	1	3	3	323	1	0	0	9	0	1	6	0	6	3	611	128	264	27	217	183	210	33	67	2	1	46	13	52	2	1	0	1	124	78	62	91	0	1	0	0	1	0	22	2	3	2	1	"k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae"
"348"	115	36	54	66	18	181	1	86	129	685	200	188	1028	167	258	329	214	14	52	174	3	131	23	52	35	427	17	60	135	48	115	128	10	23	388	473	364	55	884	5	85	9	0	8	22	203	85	31	66	598	2	199	1	1	0	1	0	43	86	141	41	5	1	0	1	33	2	9	0	2	0	27	302	28	0	1	108	20	131	78	0	83	86	1	29	125	196	138	59	262	0	0	0	0	4	4	0	13	2	12	29	10	1	0	0	4	9	0	1	18	0	0	1	7	0	0	0	0	0	0	1	182	0	0	0	2	0	2	5	0	4	2	203	46	29	5	159	285	115	2	201	12	1	5	19	66	5	0	0	0	400	24	26	98	0	0	0	0	2	1	0	0	5	0	1	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia"
"419"	15	1080	1922	636	1543	1518	292	1071	914	974	2216	1714	1873	558	1415	1811	1288	655	396	501	552	1572	959	841	1574	685	531	1315	1684	534	1034	1152	477	878	1175	1097	751	376	934	353	1059	470	258	948	1917	1032	1487	606	698	1760	375	2717	183	277	82	276	162	254	1010	1741	851	176	118	135	338	123	274	139	17	3	771	919	3220	674	229	90	1363	888	918	805	131	1444	960	36	741	1194	894	562	810	839	153	192	400	349	182	375	473	625	137	163	261	269	171	184	196	94	167	80	109	243	74	137	67	163	99	145	119	100	123	193	45	1103	520	31	84	264	169	428	210	324	244	380	743	1503	926	502	649	276	1269	164	1000	198	170	528	824	668	115	209	103	2	2745	383	829	1980	34	68	2	98	12	4	105	53	25	104	28	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__"
"440"	81	190	282	449	792	442	56	322	1734	189	507	563	289	72	830	612	262	209	218	379	180	427	212	166	338	1996	599	1075	228	185	926	411	192	533	636	749	2045	501	1133	91	264	185	263	134	292	547	590	147	314	187	240	216	245	35	15	82	26	360	179	497	202	22	22	10	20	205	118	30	1	1	135	287	607	84	29	7	184	205	264	182	18	131	156	55	751	628	496	345	485	768	87	71	353	84	54	211	58	29	186	51	45	24	15	10	12	13	5	6	5	9	4	10	11	15	66	7	4	7	16	10	8	560	40	1	5	25	16	63	20	23	52	103	1329	464	768	277	435	414	795	49	325	15	42	72	135	106	145	20	3	2	188	261	194	233	4	6	0	3	11	0	32	1	11	12	2	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__"
"635"	736	47	61	16	113	86	14	94	60	95	100	164	146	48	90	79	81	65	40	16	30	113	79	65	84	24	39	62	69	35	71	42	50	36	127	109	31	31	50	58	27	51	15	93	108	32	98	19	49	146	25	61	9	1	2	4	0	7	63	115	92	5	1	0	1	4	23	0	0	1	117	61	190	32	20	1	62	29	56	179	1	26	48	0	18	63	94	66	90	31	5	10	18	17	3	7	27	18	13	4	10	18	4	1	4	1	2	0	0	2	0	0	0	0	2	0	0	0	1	0	0	95	0	0	1	0	7	0	7	0	28	26	5	53	31	30	33	6	88	17	111	5	1	66	36	53	0	0	0	0	188	29	65	92	0	0	0	0	0	0	1	1	8	1	0	"k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__"
"646"	2629	723	353	569	441	380	27	356	142	423	349	412	421	145	256	405	527	382	197	484	797	1013	662	396	461	366	182	1061	336	423	71	94	274	51	809	307	51	1102	353	688	82	304	65	563	576	149	364	139	439	244	22	462	5	13	4	73	1	27	416	361	153	5	5	1	0	4	315	3	1	1	77	467	628	205	15	3	815	416	532	502	0	353	417	0	82	166	264	242	314	820	9	198	54	16	6	28	29	32	154	11	16	54	14	3	8	7	11	2	0	6	1	3	3	1	3	2	1	4	3	2	2	268	2	1	2	10	2	0	12	0	9	13	257	372	103	259	109	73	180	15	119	18	7	368	699	305	2	4	1	1	577	669	339	505	4	4	0	0	14	2	12	2	2	3	0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__"
"699"	83	311	558	418	3999	228	84	942	357	458	1150	1086	1385	521	521	1236	841	205	252	74	14	207	430	905	484	14	415	206	597	53	50	41	10	40	907	708	58	18	8	21	39	37	254	996	1380	190	61	13	13	437	20	729	8	2	1	6	0	15	607	843	928	3	7	0	0	5	63	2	0	1	9	404	1514	773	9	0	1534	709	591	788	0	674	593	0	10	308	1598	849	1137	33	0	1	39	8	2	16	0	2	18	157	12	3	0	0	2	5	2	1	0	1	0	0	6	1	33	0	0	0	0	0	0	796	3	1	0	0	2	0	13	1	3	0	3	51	10	589	386	3	1763	3	558	1	3	1025	8	491	21	3	2	0	309	818	528	1129	1	3	0	1	1	0	167	0	2	2	2	"k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__"
