id	label
PKUW	Candidate division WPS-2 bacterium isolate palsa_1514 73.20120500_P39.1_contig_1001
PKUX	Acidimicrobiaceae bacterium isolate palsa_663 73.20120500_P38.3_contig_1
PKUZ	Acidobacteriaceae bacterium isolate palsa_294 73.20120500_P38.10_contig_10032
PKUV	Acidobacteriaceae bacterium isolate palsa_296 73.20120500_P39.11_contig_100
PKVA	Candidate division WPS-2 bacterium isolate palsa_1513 73.20120500_P38.1_contig_12
PKVB	Gemmatimonadetes bacterium isolate palsa_1244 73.20120500_P37.7_contig_10177
PKVC	Spartobacteria bacterium isolate palsa_1429 73.20120500_P37.5_contig_103
PKVD	Spartobacteria bacterium isolate palsa_1428 73.20120500_P37.4_contig_1001
PKVK	Candidate division WPS-2 bacterium isolate palsa_1511 73.20120500_P36.1_contig_1163
PKVM	Spartobacteria bacterium isolate palsa_1425 73.20120500_P35.6_contig_1044
PKVH1	Spartobacteria bacterium isolate palsa_1426 73.20120500_P36.3_contig_106
PKVH2	Spartobacteria bacterium isolate palsa_1426 73.20120500_P36.3_contig_106
PKVO	Spartobacteria bacterium isolate palsa_1424 73.20120500_P35.4_contig_106
PKVS	Candidate division AD3 bacterium isolate palsa_864 73.20120500_P34.15_contig_1005
PKVQ	Candidate division WPS-2 bacterium isolate palsa_1510 73.20120500_P35.1_contig_108
PKVT	Acidobacteriaceae bacterium isolate palsa_293 73.20120500_P34.1_contig_1001
PKVU	Candidate division WPS-2 bacterium isolate palsa_1508 73.20120500_P33.7_contig_10013
PKVW	Acidobacteriaceae bacterium isolate palsa_292 73.20120500_P33.13_contig_1013
PKVV	Candidate division WPS-2 bacterium isolate palsa_1507 73.20120500_P33.3_contig_1236
PKVY	Acidobacterium sp. isolate palsa_291 73.20120500_P32.9_contig_104
PKVZ	Acidobacteriaceae bacterium isolate palsa_290 73.20120500_P32.5_contig_10091
PKWA	Acidimicrobiaceae bacterium isolate palsa_662 73.20120500_P32.19_contig_1010
PKWB	Candidate division AD3 bacterium isolate palsa_863 73.20120500_P32.17_contig_1008
PKUY	Acidobacteria bacterium isolate palsa_295 73.20120500_P38.14_contig_10025
PKVE	Candidate division WPS-2 bacterium isolate palsa_1512 73.20120500_P37.1_contig_1
PKVF	Candidate division AD3 bacterium isolate palsa_866 73.20120500_P36.5_contig_10127
PKVG	Spartobacteria bacterium isolate palsa_1427 73.20120500_P36.4_contig_1000
PKVI	Chloroflexi bacterium isolate palsa_1037 73.20120500_P36.15_contig_10107
PKVJ	Gemmatimonadetes bacterium isolate palsa_1243 73.20120500_P36.10_contig_100
PKVL	Gemmatimonadetes bacterium isolate palsa_1242 73.20120500_P35.9_contig_10267
PKVN	Candidate division AD3 bacterium isolate palsa_865 73.20120500_P35.5_contig_10
PKVP	Chloroflexi bacterium isolate palsa_1036 73.20120500_P35.19_contig_10129
PKVR	Candidate division WPS-2 bacterium isolate palsa_1509 73.20120500_P34.3_contig_145
PKVX	Candidate division WPS-2 bacterium isolate palsa_1506 73.20120500_P33.11_contig_1257
PKWC	Alphaproteobacteria bacterium isolate palsa_914 73.20120500_P32.15_contig_10
PKWD	Acidimicrobiaceae bacterium isolate palsa_661 73.20120500_P32.13_contig_10032
PKWG	Alphaproteobacteria bacterium isolate palsa_913 73.20120500_P31.7_contig_10262
PKWH	Acidobacteria bacterium isolate palsa_289 73.20120500_P31.5_contig_1002
PKWI	Rhizobiales bacterium isolate palsa_912 73.20120500_P31.4_contig_1000
PKWJ	Gammaproteobacteria bacterium isolate palsa_1209 73.20120500_P31.10_contig_1156
PKWP	Chloroflexi bacterium isolate palsa_1035 73.20120500_P28.39_contig_10033
PKWN	Gemmatimonadetes bacterium isolate palsa_1241 73.20120500_P28.6_contig_10264
PKWO	Oxalobacteraceae bacterium isolate palsa_996 73.20120500_P28.43_contig_100043
